reviewID,total_pros,total_cons
rw1010,1,0
rw10100,2,1
rw10101,0,1
rw10102,1,1
rw10103,1,1
rw10104,2,0
rw10105,0,0
rw10106,3,1
rw10107,1,0
rw10108,0,1
rw10109,0,0
rw1011,1,0
rw10110,1,0
rw10111,0,1
rw10112,2,0
rw10113,2,2
rw10114,1,0
rw10115,1,0
rw10116,1,0
rw10117,2,1
rw10118,2,3
rw10119,1,0
rw1012,0,0
rw10120,0,2
rw10121,0,2
rw10122,1,1
rw10123,0,2
rw10124,1,0
rw10125,0,0
rw10126,2,0
rw10127,1,0
rw10128,1,0
rw10129,2,1
rw1013,0,2
rw10130,1,0
rw10131,0,1
rw10132,0,0
rw10133,1,0
rw10134,1,0
rw10135,1,0
rw10136,0,0
rw10137,1,0
rw10138,1,1
rw10139,3,0
rw1014,10,4
rw10140,1,3
rw10141,0,0
rw10142,0,0
rw10143,1,1
rw10144,2,0
rw10145,1,1
rw10146,0,0
rw10147,0,0
rw10149,1,1
rw1015,1,0
rw10150,2,1
rw10151,0,0
rw10152,1,1
rw10153,1,2
rw10154,5,1
rw10155,4,2
rw10156,1,0
rw10157,0,0
rw10158,2,1
rw10159,2,1
rw10160,1,0
rw10161,0,0
rw10162,0,0
rw10163,0,0
rw10164,3,2
rw10165,1,0
rw10167,1,0
rw10168,1,3
rw10169,1,0
rw1017,1,0
rw10170,1,3
rw10171,1,0
rw10172,0,0
rw10173,3,0
rw10174,2,1
rw10175,1,3
rw10176,2,0
rw10177,1,6
rw10178,2,1
rw10179,1,1
rw1018,0,0
rw10180,2,1
rw10181,1,0
rw10182,1,0
rw10183,1,0
rw10184,2,0
rw10185,1,1
rw10186,0,0
rw10187,2,2
rw10188,0,1
rw10189,1,0
rw1019,1,3
rw10190,3,0
rw10191,0,0
rw10192,2,2
rw10193,1,0
rw10194,1,0
rw10195,3,0
rw10197,5,0
rw10198,1,0
rw10199,1,0
rw1020,3,1
rw10200,3,0
rw10202,0,0
rw10203,0,1
rw10204,3,1
rw10205,1,1
rw10206,1,1
rw10207,5,1
rw10208,0,2
rw10209,1,1
rw1021,3,1
rw10211,1,0
rw10212,0,1
rw10213,4,1
rw10214,2,0
rw10215,2,1
rw10216,1,0
rw10217,0,0
rw10218,2,2
rw10219,1,0
rw1022,0,1
rw10220,0,0
rw10221,1,1
rw10222,0,0
rw10223,1,0
rw10224,2,1
rw10225,1,0
rw10226,2,0
rw10227,0,5
rw10229,0,0
rw1023,2,0
rw10230,0,1
rw10231,0,0
rw10232,1,0
rw10234,1,1
rw10235,1,0
rw10236,1,1
rw10237,5,2
rw10238,0,0
rw10239,1,0
rw1024,1,1
rw10240,0,0
rw10241,0,2
rw10242,0,0
rw10243,1,0
rw10244,1,3
rw10245,0,0
rw10246,2,6
rw10248,1,0
rw1025,0,1
rw10250,2,2
rw10252,0,4
rw10253,1,0
rw10254,1,0
rw10255,2,4
rw10256,0,0
rw10257,1,2
rw10258,0,1
rw10259,1,0
rw1026,0,0
rw10260,0,0
rw10261,2,0
rw10262,2,1
rw10263,0,4
rw10264,0,1
rw10266,2,0
rw10267,0,0
rw10268,3,0
rw10269,0,1
rw1027,1,0
rw10270,1,0
rw10271,6,2
rw10272,0,2
rw10273,4,1
rw10274,0,0
rw10275,1,0
rw10276,2,1
rw10277,1,0
rw10278,2,2
rw10279,1,0
rw1028,1,2
rw10280,2,0
rw10281,1,1
rw10282,1,0
rw10283,2,0
rw10284,3,2
rw10285,3,0
rw10286,1,2
rw10287,5,3
rw10288,1,1
rw10289,2,0
rw1029,1,1
rw10290,2,1
rw10291,1,1
rw10292,0,0
rw10293,0,0
rw10294,3,2
rw10295,1,1
rw10297,3,3
rw10298,3,1
rw10299,1,0
rw1030,1,0
rw10300,1,0
rw10301,0,2
rw10302,2,0
rw10303,1,1
rw10304,2,0
rw10305,1,1
rw10306,2,0
rw10307,1,0
rw10308,1,0
rw10309,1,0
rw1031,4,2
rw10310,3,1
rw10311,2,0
rw10312,1,1
rw10313,2,1
rw10314,0,0
rw10315,2,1
rw10316,2,0
rw10318,0,3
rw10319,0,0
rw1032,1,0
rw10320,2,1
rw10322,1,3
rw10323,2,0
rw10324,1,0
rw10325,2,0
rw10326,1,0
rw10327,2,1
rw10329,0,0
rw1033,1,2
rw10330,1,2
rw10331,0,1
rw10332,0,1
rw10333,3,0
rw10334,2,0
rw10335,2,0
rw10336,1,2
rw10337,1,0
rw10338,1,1
rw10339,3,0
rw1034,2,0
rw10340,2,0
rw10341,2,0
rw10342,1,1
rw10343,0,1
rw10344,0,4
rw10345,0,0
rw10346,1,0
rw10347,0,0
rw10348,3,1
rw10349,5,2
rw1035,0,3
rw10350,4,1
rw10352,1,2
rw10353,1,0
rw10354,0,1
rw10356,0,1
rw10357,1,2
rw10358,3,0
rw10359,1,0
rw1036,2,2
rw10360,0,0
rw10361,2,2
rw10362,0,1
rw10363,1,1
rw10364,3,0
rw10365,1,3
rw10366,0,1
rw10368,1,2
rw10369,0,1
rw1037,1,0
rw10370,0,0
rw10371,3,3
rw10372,1,0
rw10373,2,0
rw10374,1,0
rw10375,2,1
rw10377,1,1
rw10378,1,1
rw10379,1,2
rw1038,0,0
rw10380,2,0
rw10381,0,1
rw10382,2,1
rw10383,1,1
rw10384,1,0
rw10385,0,1
rw10386,0,0
rw10387,1,0
rw10388,2,4
rw10389,1,0
rw1039,2,0
rw10390,2,4
rw10391,1,1
rw10392,1,1
rw10393,3,0
rw10394,2,0
rw10395,0,0
rw10396,1,2
rw10397,0,2
rw10398,1,0
rw10399,3,1
rw1040,1,0
rw10400,1,0
rw10401,1,2
rw10402,1,0
rw10403,1,3
rw10404,1,1
rw10405,3,1
rw10406,1,1
rw10407,0,0
rw10408,0,6
rw10409,1,0
rw1041,1,1
rw10410,1,0
rw10411,3,1
rw10412,3,1
rw10413,0,1
rw10414,2,1
rw10415,2,1
rw10416,4,2
rw10417,1,0
rw10418,3,0
rw10419,1,0
rw1042,1,0
rw10420,0,0
rw10421,1,1
rw10422,0,0
rw10423,1,0
rw10424,1,1
rw10425,1,0
rw10427,1,0
rw10428,0,3
rw10429,1,0
rw1043,1,1
rw10430,0,1
rw10431,3,1
rw10432,2,0
rw10433,0,1
rw10434,2,0
rw10435,0,1
rw10436,0,1
rw10437,0,1
rw10438,1,0
rw10439,0,0
rw1044,0,1
rw10440,1,0
rw10441,1,1
rw10442,0,2
rw10443,3,1
rw10445,0,0
rw10446,2,2
rw10447,3,4
rw10448,1,0
rw10449,1,1
rw1045,0,1
rw10450,0,1
rw10451,2,1
rw10452,3,1
rw10453,0,3
rw10454,1,1
rw10455,2,1
rw10456,1,1
rw10457,4,1
rw10459,1,2
rw1046,1,0
rw10460,0,0
rw10461,2,1
rw10462,2,1
rw10463,1,1
rw10464,0,0
rw10465,2,0
rw10466,1,2
rw10467,2,0
rw10468,0,0
rw10469,2,1
rw10470,0,1
rw10471,1,1
rw10472,0,1
rw10473,2,0
rw10474,2,0
rw10475,1,0
rw10476,0,1
rw10477,1,1
rw10478,0,0
rw10479,1,1
rw1048,2,0
rw10480,1,1
rw10481,0,0
rw10482,3,0
rw10483,0,0
rw10484,1,0
rw10485,0,0
rw10486,2,3
rw10487,1,2
rw10489,1,2
rw1049,0,4
rw10490,1,0
rw10491,2,0
rw10492,2,2
rw10493,0,1
rw10494,0,0
rw10496,0,1
rw10497,2,0
rw10498,3,0
rw10499,1,1
rw1050,3,2
rw10500,2,0
rw10501,4,2
rw10502,2,3
rw10503,2,0
rw10504,1,1
rw10505,3,0
rw10506,1,1
rw10507,0,0
rw10508,0,1
rw1051,1,2
rw10510,1,0
rw10511,2,1
rw10512,5,1
rw10513,1,1
rw10514,2,0
rw10515,1,0
rw10516,1,0
rw10517,2,0
rw10518,2,0
rw10519,1,0
rw1052,3,0
rw10520,0,2
rw10521,1,1
rw10522,0,1
rw10523,2,0
rw10524,0,0
rw10525,2,1
rw10526,0,0
rw10527,1,0
rw10528,3,1
rw10529,2,0
rw1053,2,1
rw10530,1,1
rw10531,1,1
rw10532,0,0
rw10533,1,0
rw10534,1,0
rw10535,1,2
rw10537,0,0
rw10538,1,0
rw10539,1,0
rw1054,0,0
rw10540,2,1
rw10541,0,0
rw10542,1,1
rw10543,0,0
rw10544,0,1
rw10545,2,0
rw10546,3,1
rw10547,2,1
rw10548,0,2
rw10549,0,0
rw1055,3,1
rw10550,1,0
rw10551,0,0
rw10552,0,2
rw10553,4,2
rw10555,2,0
rw10556,1,1
rw10557,0,3
rw10558,0,1
rw10559,1,1
rw1056,0,1
rw10562,0,0
rw10563,0,0
rw10564,1,0
rw10565,2,0
rw10566,0,1
rw10567,1,0
rw10568,2,6
